ags,gen,lon,lat,distance_pck_km,centroid_distance_pck_km,municipality,SPD_2019_pct,SPD_2024_pct,SPD_change_pp,CDU_2019_pct,CDU_2024_pct,CDU_change_pp,Greens_2019_pct,Greens_2024_pct,Greens_change_pp,FDP_2019_pct,FDP_2024_pct,FDP_change_pp,AfD_2019_pct,AfD_2024_pct,AfD_change_pp,Left_2019_pct,Left_2024_pct,Left_change_pp,turnout_2019_pct,turnout_2024_pct,turnout_change_pp,eligible_2019,eligible_2024,valid_2019,valid_2024
12060005,Ahrensfelde,13.580386345655745,52.599541348461045,70.07485651497284,69.66505985498682,Ahrensfelde,23.092868988391377,25.739036275040608,2.6461672866492307,17.136539524599225,13.318895506226314,-3.8176440183729117,8.886124930901051,2.2414726583649163,-6.644652272536135,2.8606965174129355,0.6930157011369789,-2.167680816275957,23.880597014925375,30.828370330265294,6.947773315339919,13.14262023217247,2.5230102869518136,-10.619609945220656,63.22402960667871,78.50862360500507,15.284593998326358,11619,11828,7236,9235
12060012,Althüttendorf,13.81232679978995,52.957707962793634,32.00849903796243,31.414652448000872,Althüttendorf,24.43609022556391,33.44827586206897,9.012185636505059,21.05263157894737,13.448275862068966,-7.604355716878404,6.7669172932330826,1.7241379310344827,-5.0427793621985995,3.3834586466165413,0.3448275862068966,-3.038631060409645,22.18045112781955,28.620689655172413,6.440238527352864,12.030075187969924,2.0689655172413794,-9.961109670728545,47.755834829443444,48.67109634551495,0.915261516071503,557,602,266,290
12060020,Bernau bei Berlin,13.584796823611631,52.68269288143653,62.94205707742333,63.044449801490096,"Bernau bei Berlin, Stadt",19.694977649224295,27.996362054648266,8.30138440542397,10.544307125953194,9.438886472379295,-1.1054206535738995,10.228766763081778,3.894974099410811,-6.333792663670966,2.1877465159084934,0.6168689944244533,-1.5708775214840403,19.321588219826452,25.082051484835304,5.760463265008852,15.73494609518801,4.472300209577287,-11.262645885610723,58.508534396202876,71.92542028658468,13.416885890381806,32867,35452,19015,25289
12060024,Biesenthal,13.637979651050967,52.764259958268724,54.052492727629556,53.520368925942165,"Biesenthal, Stadt",23.101409731696226,26.73101133025598,3.6296015985597556,16.007276034561166,8.812421317666807,-7.194854716894358,10.868576625738973,5.413344523709609,-5.455232102029363,2.546612096407458,0.3776751993285774,-2.168936897078881,22.328331059572534,33.193453629878306,10.865122570305772,11.869031377899045,4.154427192614351,-7.714604185284694,45.28071602929211,47.13639047431608,1.855674445023972,4916,5081,2199,2383
12060034,Breydin,13.831630384121702,52.77588311281495,44.147879738466244,44.96921500137234,Breydin,26.12137203166227,24.146341463414632,-1.975030568247636,13.720316622691293,9.024390243902438,-4.6959263787888545,7.387862796833773,3.658536585365854,-3.7293262114679195,3.1662269129287597,0.24390243902439024,-2.9223244739043697,31.662269129287598,40.48780487804878,8.82553574876118,10.026385224274406,3.4146341463414633,-6.611751077932944,57.271364317841076,58.35694050991501,1.0855761920739369,667,706,379,410
12060036,Britz,13.819362881422387,52.882684917313945,36.19410734198102,36.635531676685524,Britz,28.571428571428573,28.023598820058996,-0.5478297513695765,14.285714285714286,10.22615535889872,-4.059558926815566,5.803571428571429,2.359882005899705,-3.443689422671724,3.3482142857142856,0.8849557522123894,-2.463258533501896,29.017857142857142,37.75811209439528,8.740254951538137,10.379464285714286,4.129793510324483,-6.249670775389803,49.34782608695652,57.06340378197998,7.715577695023455,1840,1798,896,1017
12060045,Chorin,13.875326128914452,52.90607391621976,31.633733256897685,30.289003953563864,Chorin,24.67005076142132,25.44529262086514,0.7752418594438204,18.477157360406093,9.075487701441899,-9.401669658964193,15.634517766497462,5.4283290924512295,-10.206188674046231,3.451776649746193,1.0178117048346056,-2.4339649449115877,21.82741116751269,33.587786259541986,11.760375092029296,9.644670050761421,4.2408821034775235,-5.403787947283898,50.99236641221374,61.70984455958549,10.71747814737175,1965,1930,985,1179
12060052,Eberswalde,13.801260733124497,52.829159274921686,41.08296351147648,42.24348808669406,"Eberswalde, Stadt",26.17154043802765,28.640660237032773,2.469119799005121,12.76764957787838,9.385346192601123,-3.3823033852772575,11.862229291569802,5.306847080274459,-6.555382211295343,3.0772054325217177,1.1179885802024856,-1.9592168523192321,23.3879848280925,28.515906146538075,5.127921318445576,13.452832497247034,7.4276666186843245,-6.025165878562709,49.272293468535636,63.614632817937,14.342339349401364,33530,33049,16346,20841
12060068,Friedrichswalde,13.767795801294623,53.03044811821627,32.156876426934524,31.391372545794333,Friedrichswalde,19.518716577540108,23.19201995012469,3.6733033725845807,33.68983957219251,15.71072319201995,-17.979116380172563,11.229946524064172,3.491271820448878,-7.738674703615294,4.545454545454546,0.7481296758104738,-3.797324869644072,18.449197860962567,37.905236907730675,19.456039046768108,8.02139037433155,3.2418952618453867,-4.779495112486164,53.586497890295355,56.70391061452514,3.117412724229787,711,716,374,401
12060092,Hohenfinow,13.91513475877993,52.8132826124853,37.44533750736607,38.4039473668495,Hohenfinow,22.727272727272727,25.622775800711743,2.8955030734390164,13.636363636363637,7.473309608540926,-6.163054027822711,6.363636363636363,3.202846975088968,-3.1607893885473954,2.727272727272727,0.35587188612099646,-2.3714008411517304,32.72727272727273,41.281138790035584,8.553866062762857,11.363636363636363,1.4234875444839858,-9.940148819152377,51.70068027210884,63.800904977375566,12.100224705266726,441,442,220,281
12060100,Joachimsthal,13.721330841061416,52.966035392104395,37.20677806777451,37.263149614562145,"Joachimsthal, Stadt",25.502008032128515,22.310756972111555,-3.1912510600169597,20.38152610441767,11.155378486055778,-9.226147618361892,7.831325301204819,1.8326693227091633,-5.9986559784956555,2.4096385542168677,1.1155378486055776,-1.29410070561129,29.31726907630522,42.07171314741036,12.754444071105137,8.132530120481928,2.6294820717131473,-5.503048048768781,36.068498037816624,46.573323507737655,10.50482546992103,2803,2714,996,1255
12060128,Liepe,13.97331305924815,52.85650114222491,31.259250927535707,30.88956788626869,Liepe,27.272727272727273,25.838926174496645,-1.433801098230628,20.553359683794465,7.046979865771812,-13.506379818022653,3.1620553359683794,2.0134228187919465,-1.1486325171764329,3.952569169960474,0.33557046979865773,-3.6169987001618162,31.225296442687746,42.281879194630875,11.056582751943129,9.486166007905139,2.0134228187919465,-7.472743189113192,42.88107202680067,52.37258347978911,9.491511452988433,597,569,253,298
12060149,Lunow-Stolzenhagen,14.111632064665939,52.9278512587884,19.693161317964307,19.598767567793818,Lunow-Stolzenhagen,21.987315010570825,22.07792207792208,0.09060706735125379,14.587737843551798,9.74025974025974,-4.847478103292058,7.399577167019028,3.409090909090909,-3.9904862579281186,1.6913319238900635,0.487012987012987,-1.2043189368770766,41.014799154334035,44.642857142857146,3.6280579885231106,9.090909090909092,3.896103896103896,-5.194805194805196,47.11067580803134,62.99292214357937,15.882246335548032,1021,989,473,616
12060154,Marienwerder,13.580292845905214,52.8442876709822,51.815898986818404,51.85814233940788,Marienwerder,25.471698113207548,27.895392278953924,2.423694165746376,14.959568733153638,9.464508094645081,-5.495060638508557,7.008086253369272,3.61145703611457,-3.3966292172547017,3.3692722371967654,0.12453300124533001,-3.2447392359514353,28.16711590296496,39.22789539227895,11.060779489313994,10.512129380053908,1.4943960149439601,-9.017733365109947,50.572390572390574,55.65455791638108,5.0821673439905055,1485,1459,742,803
12060161,Melchow,13.73421838974072,52.77210220561534,48.77718043206471,48.937729487963615,Melchow,25.58139534883721,30.93812375249501,5.356728403657801,12.093023255813954,6.586826347305389,-5.5061969085085645,11.86046511627907,6.387225548902196,-5.473239567376874,2.558139534883721,0.5988023952095808,-1.9593371396741404,19.53488372093023,27.345309381237524,7.810425660307292,10.232558139534884,3.3932135728542914,-6.839344566680593,51.17370892018779,54.55531453362256,3.3816056134347647,852,922,430,501
12060172,Niederfinow,13.920635579137802,52.8435127354456,34.525317968393736,34.17459304205752,Niederfinow,23.10756972111554,23.741007194244606,0.6334374731290673,15.936254980079681,8.992805755395683,-6.943449224683999,10.358565737051793,3.597122302158273,-6.761443434893519,1.9920318725099602,0.3597122302158273,-1.6323196422941328,31.872509960159363,41.726618705035975,9.854108744876612,7.171314741035856,3.9568345323741005,-3.214480208661756,49.23076923076923,56.76767676767677,7.536907536907535,520,495,251,278
12060176,Oderberg,14.024379985322234,52.880511684560105,27.14056736263114,26.711709474265554,"Oderberg, Stadt",27.153284671532848,25.47846889952153,-1.6748157720113177,11.678832116788321,7.894736842105263,-3.7840952746830583,5.401459854014599,2.15311004784689,-3.2483498061677087,3.3576642335766422,0.11961722488038277,-3.2380470086962596,34.89051094890511,43.54066985645933,8.650158907554221,9.343065693430656,3.229665071770335,-6.113400621660322,38.521400778210115,50.23640661938534,11.715005841175227,1799,1692,685,836
12060181,Panketal,13.543074706053007,52.64055730302483,68.28479608012103,68.67833660258688,Panketal,23.85949696444059,29.578270192994996,5.718773228554404,12.810060711188205,12.122944960686205,-0.6871157505020005,12.333044232437121,4.603288062902073,-7.729756169535048,3.217692974848222,0.8720514653323803,-2.3456415095158416,19.627059843885515,23.695496783416726,4.06843693953121,12.59323503902862,3.2380271622587564,-9.355207876769864,67.01054694253934,80.7696726019529,13.75912565941357,17351,17410,11530,13990
12060185,Parsteinsee,14.047557920469446,52.93278244002221,21.4493955254586,21.423913422884052,Parsteinsee,28.63849765258216,29.181494661921707,0.5429970093395475,14.084507042253522,4.98220640569395,-9.102300636559573,11.267605633802816,7.473309608540926,-3.7942960252618905,1.8779342723004695,0.0,-1.8779342723004695,28.63849765258216,39.145907473309606,10.507409820727446,7.981220657276995,1.4234875444839858,-6.557733112793009,50.46296296296296,62.44444444444444,11.981481481481481,432,450,213,281
12060192,Rüdnitz,13.631862404764412,52.717783566712626,57.92645359957622,57.74334099400726,Rüdnitz,20.34739454094293,27.40899357601713,7.061599035074202,12.034739454094293,7.494646680942184,-4.540092773152109,11.042183622828784,3.3190578158458246,-7.723125806982959,2.729528535980149,0.8565310492505354,-1.8729974867296135,22.580645161290324,33.5117773019272,10.931132140636873,14.1439205955335,2.9978586723768736,-11.146061923156626,48.05882352941177,54.195402298850574,6.136578769438806,1700,1740,806,934
12060198,Schorfheide,13.617475415183497,52.89918547321115,46.63596291541589,47.58655481530634,Schorfheide,24.386671548883193,27.514659449706812,3.1279879008236193,15.81838154522153,11.42685310479627,-4.39152844042526,7.37824972537532,2.285370620959254,-5.092879104416066,3.387037715122666,0.6765899864682002,-2.7104477286544655,24.71622116440864,32.341001353179976,7.624780188771336,13.694617356279752,4.059539918809202,-9.63507743747055,62.23392336993054,74.46478092068774,12.230857550757207,8926,9015,5462,6651
12060250,Sydower Fließ,13.709350077257406,52.73112751319071,53.26528662168036,52.9497849356875,Sydower Fließ,22.139303482587064,28.00875273522976,5.869449252642696,17.66169154228856,9.190371991247265,-8.471319551041294,8.955223880597014,2.4070021881838075,-6.548221692413207,2.985074626865672,0.437636761487965,-2.547437865377707,25.37313432835821,35.010940919037196,9.637806590678988,8.706467661691542,1.9693654266958425,-6.7371022349956995,52.910737386804655,56.809815950920246,3.899078564115591,773,815,402,457
12060269,Wandlitz,13.503641736770522,52.7576859724047,61.52709967673098,62.586565582636496,Wandlitz,23.33544705136335,28.075461810559414,4.740014759196065,13.78408370323399,12.649023974846063,-1.135059728387926,11.612238427393786,4.3298834010218785,-7.282355026371907,3.4242232086239697,0.6878029608279838,-2.736420247795986,23.10558021559924,29.588628324380977,6.4830481087817375,11.794546607482562,2.5808987292021484,-9.213647878280414,66.04725382200031,76.05989983636634,10.012646014366027,19427,20167,12616,15266
12060280,Werneuchen,13.742031908494114,52.645338769489776,59.46286732750411,59.4969099880187,"Werneuchen, Stadt",25.56745182012848,24.09129332206255,-1.476158498065928,12.65524625267666,9.839391377852916,-2.815854874823744,7.387580299785867,2.4683009298393914,-4.919279369946476,2.4197002141327624,0.6762468300929839,-1.7434533840397783,27.130620985010708,35.418427726120036,8.287806741109328,10.471092077087794,3.0092983939137787,-7.461793683174015,63.65198995107762,75.63989408649603,11.987904135418411,7563,7931,4670,5915
12060296,Ziethen,13.894213182118362,52.95874723126632,27.15879681400233,27.223897352086322,Ziethen,26.237623762376238,23.045267489711936,-3.192356272664302,12.871287128712872,3.7037037037037037,-9.167583425009168,8.415841584158416,5.349794238683128,-3.0660473454752886,4.9504950495049505,0.411522633744856,-4.538972415760094,28.217821782178216,47.325102880658434,19.107281098480218,11.386138613861386,4.526748971193416,-6.85938964266797,55.67567567567568,66.57681940700809,10.90114373133241,370,371,202,243
12061005,Alt Zauche-Wußwerk,14.021438866758611,51.9114637837239,131.65306232680356,131.60315539817168,Alt Zauche-Wußwerk,20.155038759689923,23.829787234042552,3.6747484743526293,19.37984496124031,9.361702127659575,-10.018142833580734,6.589147286821706,2.5531914893617023,-4.035955797460003,4.263565891472868,0.425531914893617,-3.8380339765792506,32.17054263565891,48.08510638297872,15.91456374731981,10.077519379844961,0.0,-10.077519379844961,59.54545454545455,57.07434052757794,-2.4711140178766087,440,417,258,235
12061017,Bersteland,13.78338154160033,51.943030803778655,131.0053744253823,131.28974514163522,Bersteland,19.914346895074946,24.34988179669031,4.4355349016153625,22.055674518201286,12.056737588652481,-9.998936929548805,2.9978586723768736,1.4184397163120568,-1.5794189560648169,5.139186295503212,0.0,-5.139186295503212,35.54603854389722,41.371158392434985,5.825119848537767,5.353319057815845,0.2364066193853428,-5.116912438430503,63.101604278074866,57.04697986577181,-6.054624412303056,748,745,467,423
12061020,Bestensee,13.64513541681237,52.229155797738635,103.57563831204156,103.58172686099468,Bestensee,24.658227848101266,30.22409500095767,5.565867152856406,13.316455696202532,12.104960735491286,-1.2114949607112457,9.544303797468354,3.811530358168933,-5.732773439299421,2.9873417721518987,0.5937559854434017,-2.393585786708497,24.658227848101266,30.817850986401073,6.159623138299807,11.544303797468354,1.838728212986018,-9.705575584482336,61.948415164698574,73.21552803673299,11.267112872034417,6436,7187,3950,5221
12061061,Byhleguhre-Byhlen,14.188093105765414,51.8942533181642,132.7854972701106,132.88677551625258,Byhleguhre-Byhlen,24.33862433862434,30.591259640102827,6.252635301478488,19.047619047619047,7.969151670951157,-11.078467376667891,4.232804232804233,3.0848329048843186,-1.147971327919914,6.349206349206349,1.2853470437017995,-5.0638593055045495,33.86243386243386,38.04627249357326,4.183838631139402,5.291005291005291,0.7712082262210797,-4.519797064784211,60.06240249609984,62.06896551724138,2.006563021141538,641,638,378,389
12061097,Drahnsdorf,13.578816467069554,51.92529686299237,136.81812348175654,136.98267450480327,Drahnsdorf,26.818181818181817,26.79245283018868,-0.025728987993137054,13.181818181818182,9.056603773584905,-4.125214408233276,9.090909090909092,1.1320754716981132,-7.958833619210979,2.727272727272727,0.0,-2.727272727272727,35.90909090909091,41.886792452830186,5.977701543739279,5.909090909090909,3.018867924528302,-2.890222984562607,47.323340471092074,57.142857142857146,9.819516671765072,467,469,220,265
12061112,Eichwalde,13.624275290345484,52.37205924789839,89.74560445240441,89.67659016652864,Eichwalde,26.230380420324554,34.294793449034465,8.064413028709911,12.928970470869912,11.80640430212662,-1.1225661687432922,18.56876828943868,7.4553898802248835,-11.113378409213796,3.8840117052407557,1.0755316548521143,-2.808480050388641,17.7706836924714,20.655096553409923,2.8844128609385216,12.077680234104815,4.057687606942068,-8.019992627162747,71.05608703807916,78.6463298379409,7.590242799861741,5331,5245,3759,4091
