constituency_id,SPD_2017_pct,SPD_2022_pct,SPD_change_pp,CDU_2017_pct,CDU_2022_pct,CDU_change_pp,Greens_2017_pct,Greens_2022_pct,Greens_change_pp,FDP_2017_pct,FDP_2022_pct,FDP_change_pp,AfD_2017_pct,AfD_2022_pct,AfD_change_pp,Left_2017_pct,Left_2022_pct,Left_change_pp,turnout_2017_pct,turnout_2022_pct,turnout_change_pp
038,39.920324,34.424785,-5.495539,31.233865,31.515365,0.281501,8.116710,10.922910,2.806201,6.507612,4.565475,-1.942137,7.687172,11.234994,3.547822,4.462299,1.993305,-2.468993,58.495670,60.451058,1.955387
039,37.301570,33.933192,-3.368377,38.069759,28.287462,-9.782297,7.113519,12.540579,5.427060,7.217868,4.587156,-2.630712,5.532737,12.954599,7.421862,2.926223,2.533522,-0.392701,63.650529,59.192014,-4.458514
040,36.442272,35.631713,-0.810560,34.888210,26.867799,-8.020411,9.361026,14.641672,5.280645,7.059255,5.114236,-1.945019,6.502138,9.871119,3.368981,3.481979,2.304237,-1.177742,60.365702,61.502426,1.136724
041,35.217901,32.024178,-3.193724,32.662480,32.569581,-0.092899,9.832035,10.806860,0.974825,8.840887,6.727579,-2.113307,6.020655,11.043014,5.022359,4.645532,2.175991,-2.469541,63.711795,59.285266,-4.426529
042,32.603347,36.180786,3.577439,38.456755,27.044432,-11.412323,7.456674,10.900697,3.444023,10.736205,4.175611,-6.560594,5.045016,13.991237,8.946221,3.614784,2.520069,-1.094714,61.310957,61.862512,0.551555
043,40.627060,33.565556,-7.061504,32.490757,30.181266,-2.309492,7.305190,11.873081,4.567891,7.087381,4.638954,-2.448427,6.497005,12.421171,5.924166,3.633967,2.228679,-1.405288,63.781259,57.538659,-6.242601
044,34.863236,28.280721,-6.582515,38.287745,32.422427,-5.865318,7.043734,11.159723,4.115989,7.312626,6.131790,-1.180836,6.839747,14.280586,7.440839,3.359604,2.041686,-1.317918,61.068172,62.358201,1.290029
045,32.561652,30.366296,-2.195355,39.890828,27.378791,-12.512037,6.237459,13.495835,7.258376,8.308701,5.654635,-2.654067,7.434896,14.806707,7.371810,3.024876,2.552328,-0.472548,65.432029,56.680308,-8.751722
046,35.502048,33.726435,-1.775613,34.811965,27.653439,-7.158526,6.734517,11.866231,5.131714,7.769641,4.730137,-3.039504,8.566464,13.973057,5.406593,4.051136,2.532926,-1.518210,59.898567,62.792254,2.893687
047,36.679348,28.487474,-8.191874,33.850616,26.512375,-7.338241,9.130287,18.130320,9.000033,7.220611,3.980491,-3.240120,6.666918,12.286813,5.619896,4.211081,4.377329,0.166247,64.120762,60.460145,-3.660617
048,32.064684,31.843942,-0.220742,31.753844,26.298992,-5.454852,13.103410,17.470023,4.366613,7.297352,4.718726,-2.578627,6.646067,10.451590,3.805522,6.346328,2.770984,-3.575344,64.587992,64.853396,0.265404
049,32.980500,30.450315,-2.530185,26.133666,19.172584,-6.961082,16.035729,26.141225,10.105497,7.831484,4.840559,-2.990925,6.241978,8.294006,2.052028,7.523781,4.833943,-2.689838,65.225291,61.280410,-3.944881
050,30.617927,28.041072,-2.576855,35.194000,30.931178,-4.262822,10.337704,16.154045,5.816341,9.089276,5.040062,-4.049214,7.403000,10.761531,3.358531,4.297647,2.518856,-1.778791,66.058647,62.411235,-3.647412
051,31.925900,28.678625,-3.247274,35.072877,32.811173,-2.261704,9.094384,14.859647,5.765263,9.504638,4.658360,-4.846278,7.234227,10.261536,3.027309,3.801855,1.990963,-1.810892,65.087076,61.194448,-3.892628
052,28.993638,27.564247,-1.429390,34.893818,30.551917,-4.341901,12.142120,18.041191,5.899070,9.786347,5.324963,-4.461384,6.628837,9.611129,2.982292,4.466512,2.393749,-2.072763,67.356438,63.672129,-3.684308
053,34.469555,32.602729,-1.866826,36.392117,30.396891,-5.995226,9.460183,13.814036,4.353853,7.459969,4.265422,-3.194547,5.382103,10.736682,5.354579,4.019172,2.646605,-1.372567,63.453476,61.197242,-2.256234
054,32.359651,32.010064,-0.349587,44.104227,37.352064,-6.752163,7.360769,10.187774,2.827004,6.495191,4.065325,-2.429866,4.582867,10.071289,5.488421,3.111161,1.756593,-1.354568,64.817327,62.045901,-2.771425
055,31.885988,31.241886,-0.644102,37.089961,30.505552,-6.584410,9.213030,14.912706,5.699676,8.029530,4.559459,-3.470071,6.625314,10.283489,3.658175,4.391506,2.612049,-1.779457,65.397105,63.039443,-2.357662
056,33.018784,33.484988,0.466204,38.123362,29.937644,-8.185718,7.677961,11.598152,3.920192,8.053200,4.076212,-3.976987,6.794263,12.969977,6.175714,3.836760,2.602771,-1.233989,59.866933,58.065974,-1.800959
057,35.204996,34.275113,-0.929883,39.715395,33.729128,-5.986267,6.654891,10.280944,3.626053,6.430988,3.649616,-2.781372,5.881182,10.707660,4.826477,3.793910,1.844686,-1.949224,61.327852,57.852062,-3.475791
058,41.263337,38.402892,-2.860446,33.769662,28.357937,-5.411725,6.938181,11.830994,4.892814,6.143439,4.112751,-2.030687,5.725443,9.680457,3.955014,3.962710,1.919689,-2.043021,61.819011,56.979094,-4.839917
059,37.093664,35.233191,-1.860473,33.644628,29.015742,-4.628886,8.446281,12.352508,3.906227,6.267218,3.604531,-2.662686,6.732782,11.325585,4.592802,5.041322,2.586435,-2.454887,63.361015,59.279165,-4.081850
060,34.454296,34.188912,-0.265384,31.961344,28.547360,-3.413985,10.986422,17.001000,6.014578,7.536356,3.980414,-3.555942,6.113667,8.582109,2.468442,6.573676,3.009003,-3.564672,62.533341,59.207358,-3.325983
061,36.294465,35.254586,-1.039879,33.582490,27.156467,-6.426023,9.651947,14.715765,5.063818,7.817771,4.455250,-3.362521,6.449325,11.171727,4.722401,3.950092,2.314595,-1.635497,62.979071,61.379750,-1.599321
062,35.461400,30.066450,-5.394950,21.954656,16.029971,-5.924685,16.107908,28.496814,12.388906,7.748702,4.985097,-2.763605,5.037961,7.008669,1.970708,10.488142,5.575761,-4.912381,61.466616,58.334126,-3.132489
063,37.777883,32.766796,-5.011087,23.776605,18.199062,-5.577543,14.458202,26.742039,12.283836,8.298018,5.153739,-3.144280,4.351429,5.790157,1.438728,8.456640,4.120495,-4.336144,64.737573,61.359312,-3.378261
064,34.094134,33.399521,-0.694613,31.829470,26.781437,-5.048033,10.284611,15.289349,5.004739,10.881820,6.198440,-4.683379,5.688269,9.694786,4.006518,4.202144,2.335674,-1.866471,67.231624,63.967432,-3.264191
065,38.828480,36.719187,-2.109294,28.254503,23.659999,-4.594503,6.645346,11.163258,4.517913,7.002188,4.071218,-2.930970,10.496549,14.880620,4.384070,5.759973,3.244310,-2.515663,52.582886,49.552342,-3.030544
066,28.405117,27.238427,-1.166690,45.836248,37.305980,-8.530267,5.620107,8.334651,2.714544,8.997586,6.683084,-2.314501,6.145793,13.797700,7.651907,3.237597,2.225435,-1.012161,58.784452,57.200174,-1.584277
067,21.510874,23.503914,1.993040,57.367318,44.473893,-12.893426,5.157622,8.728822,3.571200,6.873504,4.842465,-2.031039,5.105247,13.130387,8.025140,2.686053,1.984048,-0.702005,59.530662,59.171169,-0.359493
068,20.673604,22.765429,2.091825,57.479467,46.717112,-10.762355,5.468464,11.111768,5.643303,7.768951,4.930244,-2.838708,4.177807,9.074249,4.896442,2.579392,1.840467,-0.738925,63.530013,61.471160,-2.058853
069,43.285332,38.490291,-4.795041,25.517843,21.914591,-3.603252,6.644019,10.820019,4.176000,7.594023,3.741193,-3.852831,8.333584,14.180808,5.847224,5.399393,3.347557,-2.051836,54.060373,51.587288,-2.473085
070,44.515927,40.082028,-4.433899,26.651674,23.535068,-3.116606,7.987391,11.615448,3.628057,8.402153,4.590055,-3.812099,5.858280,11.770478,5.912197,4.024111,2.394128,-1.629983,63.939994,59.468896,-4.471098
071,40.278089,37.388855,-2.889234,31.493659,25.444581,-6.049077,8.328414,12.789418,4.461005,8.212374,5.130293,-3.082080,5.181083,11.088124,5.907041,4.307730,2.570649,-1.737081,59.882692,56.218479,-3.664213
072,35.872110,33.056686,-2.815424,33.172651,29.239354,-3.933297,8.726021,13.869304,5.143284,10.599115,5.688731,-4.910383,5.312346,10.064059,4.751712,4.031481,2.449539,-1.581942,64.219078,61.709543,-2.509535
073,27.587183,28.167883,0.580700,49.893334,40.648341,-9.244993,6.143062,9.240924,3.097862,7.769167,5.022147,-2.747020,4.464713,11.531614,7.066900,2.808133,1.841237,-0.966896,60.696308,60.291922,-0.404387
074,34.702755,34.627371,-0.075384,37.947339,30.685157,-7.262181,9.378612,15.114415,5.735804,7.947549,4.440833,-3.506715,4.280581,8.403081,4.122500,3.751024,2.116909,-1.634116,65.425867,61.645437,-3.780430
075,36.574845,36.074548,-0.500297,35.940388,28.898198,-7.042190,8.973686,14.190846,5.217160,7.191273,4.067789,-3.123484,5.030011,9.758884,4.728873,4.372732,2.354033,-2.018699,63.080979,60.913355,-2.167624
076,30.453761,32.651679,2.197918,43.187345,36.098321,-7.089025,8.782141,14.280878,5.498737,8.692760,4.557151,-4.135610,3.627180,6.708198,3.081018,3.674988,1.907277,-1.767711,67.814495,63.256992,-4.557503
077,34.970344,31.329842,-3.640502,30.438909,22.770823,-7.668086,13.229537,24.603986,11.374448,7.191578,4.234798,-2.956780,4.335706,6.291518,1.955812,7.247924,4.566939,-2.680985,58.974582,55.621625,-3.352957
078,31.488333,29.053783,-2.434550,30.891065,22.963074,-7.927991,15.647443,27.807044,12.159601,8.485068,4.996990,-3.488079,4.067223,5.634156,1.566933,7.060815,3.930865,-3.129950,64.317235,62.575720,-1.741515
079,33.280777,33.959382,0.678605,45.914383,37.087741,-8.826641,6.251719,10.669231,4.417512,6.953891,4.883936,-2.069955,3.245027,8.014180,4.769153,2.927858,1.847976,-1.079882,64.262683,61.855885,-2.406798
080,25.862132,26.702622,0.840491,53.735904,43.609820,-10.126084,5.833030,11.495258,5.662227,7.153510,4.707086,-2.446425,3.399418,7.863121,4.463703,2.673700,1.874651,-0.799048,65.247724,63.022257,-2.225466
081,24.320009,26.500642,2.180633,55.464993,44.964357,-10.500636,5.313678,9.099708,3.786030,7.543492,4.774136,-2.769356,3.626000,9.114598,5.488598,2.324502,1.775644,-0.548858,64.978447,64.152061,-0.826386
082,24.434776,25.472597,1.037822,55.157548,45.748610,-9.408938,4.742321,7.285544,2.543223,7.072754,4.098491,-2.974263,4.563516,11.854647,7.291131,2.594668,1.840747,-0.753921,62.637104,61.680370,-0.956734
083,39.140109,33.543683,-5.596426,35.566114,29.507315,-6.058799,7.182756,11.010611,3.827855,6.100359,3.664750,-2.435609,6.107313,13.523115,7.415802,3.965697,2.748563,-1.217134,60.347824,59.290517,-1.057306
084,48.682944,40.735535,-7.947409,28.485167,23.550597,-4.934569,5.866223,8.506090,2.639867,5.093200,3.434645,-1.658555,6.239608,15.442727,9.203119,3.631749,2.679199,-0.952550,59.202070,58.660943,-0.541127
085,49.882718,43.358949,-6.523769,23.009770,19.850763,-3.159007,7.200114,11.206148,4.006033,6.408714,3.737610,-2.671104,5.921227,12.743067,6.821840,5.333796,3.445818,-1.887978,59.223115,55.539309,-3.683806
086,47.269092,38.652573,-8.616518,26.492097,21.359281,-5.132816,7.421444,10.518621,3.097177,5.374214,3.736047,-1.638168,6.545420,15.625803,9.080383,4.515330,2.890447,-1.624883,61.318681,58.484911,-2.833771
087,42.372502,38.474693,-3.897809,32.874530,27.747007,-5.127523,6.419096,9.089053,2.669957,7.198148,3.871972,-3.326176,5.635065,13.548074,7.913009,3.601563,2.072539,-1.529024,60.584816,58.904537,-1.680279
