distance_quartile,municipalities,mean_distance_km,mean_afd_change_pp,median_afd_change_pp,valid_vote_weighted_mean_afd_change_pp
Q1 closest,103,47.04269674508916,10.42545007887026,9.854108744876612,7.240851427173154
Q2,102,96.39577888687883,7.860730281072048,7.258021728120832,5.644756565413993
Q3,102,132.203185816435,8.732601399627459,8.094796289669858,6.593394277326561
Q4 farthest,102,168.86757398089992,9.73614072910078,9.43715036113546,7.599834535242397
